site,mmm
sylphs_hole,24.06
north_bay,24.08
comets_hole,24.06
horseshoe_reef,24.06
potholes_reef,24.05
coral_gardens,24.06
neds_beach,24.2
acropora_gardens,24.01
le_meurthe,24.08
